"Raf","Mek","PLCg","PIP2","PIP3","Erk","Akt","PKA","PKC","p38","JNK"
3.29212628660779,2.61739583283408,2.2321626286975,2.9338568698359,4.08260930600368,1.96150224381515,2.86220088092947,6.02707297457535,2.86220088092947,3.8155121050473,3.70130197411249
3.5945687746427,2.83321334405622,2.54944517092557,2.85070650150373,2.15524450509534,2.94968833505258,3.49650756146648,5.86505062225232,1.35325450704169,2.83321334405622,4.12713438504509
4.0926765051214,3.79773385902602,2.71469474382088,2.37024374146786,2.60268968544438,2.73436750941958,3.49650756146648,6.00017648771,2.47653840011748,3.47815842279828,2.99573227355399
4.29728540621879,4.4224485491728,3.16124671203156,2.63905732961526,0.582215619852664,1.84530023615608,2.50959926237837,6.27004280531029,2.65324196460721,3.37073817417745,3.16124671203156
3.53222564406856,3.01062088604774,1.73871024813824,2.32532457996354,3.23080439573347,3.07269331469012,3.8416005411316,5.72194977861165,1.64093657949347,3.26575941076705,4.4042772436087
2.96010509591084,1.44691898293633,2.89591193827178,3.11794990627824,2.43361335540045,2.51769647261099,3.26575941076705,6.41427829355076,2.65324196460721,3.90399083373088,4.06560209335645
3.8155121050473,3.61091791264422,2.3887627892351,4.88658264542628,2.82137888640921,2.21484617868604,2.91235066461494,6.72803034803545,2.7408400239252,3.5945687746427,2.92316158071916
3.86911550441687,2.7408400239252,2.71469474382088,3.43398720448515,2.89037175789616,3.03013370027132,3.82428409112014,6.1452580202874,1.93730177451871,3.21486780347066,3.02042488614436
4.64918707140487,4.12713438504509,2.40694510831829,3.07269331469012,3.74478708605223,2.484906649788,3.17805383034795,6.09919724691086,3.39114704580865,4.11903717481247,3.25037449192757
3.07269331469012,3.09104245335832,0.867100487683383,5.32544603393629,3.78872478908365,2.61739583283408,4.90897164031976,5.36363683266868,2.71469474382088,3.30321697330195,4.62005879848184
2.82731362192903,2.82731362192903,2.70805020110221,2.86220088092947,2.45958884180371,3.10906095886099,3.55820113047182,6.10813585391167,3.03974915897077,3.8155121050473,3.20274644293832
4.31481788498043,3.15273602236366,2.07944154167984,2.77258872223978,3.2846635654062,3.06339092202781,3.61091791264422,5.9648638653108,3.47815842279828,4.26969744969996,3.58351893845611
4.4496852831477,3.69137633431252,2.24070968927596,4.18052225846315,2.50143595173921,1.96990565461153,2.54160199346455,6.27004280531029,2.91235066461494,3.79773385902602,4.77491296057519
3.61899332664977,3.39114704580865,1.70474809223843,2.25758772706331,2.77258872223978,2.91235066461494,2.91235066461494,5.99271376650841,2.71469474382088,3.73528582692809,5.02058562494942
3.39114704580865,3.20274644293832,2.37024374146786,2.80336038090653,3.85227300102237,2.2321626286975,2.04510886259933,6.21560759875528,2.32532457996354,2.97552956623647,2.12942147398486
3.92197333628131,2.66025953726586,2.51769647261099,2.61739583283408,2.46809953147162,2.92316158071916,3.34638914516716,5.97253653722246,4.03777421073371,4.3502779363593,0.405465108108164
3.2846635654062,3.30321697330195,3.08190996979504,2.43361335540045,2.72129542785223,2.25758772706331,3.64805745959368,4.49423862528081,3.70130197411249,4.18965474202643,0.65232518603969
3.69137633431252,3.65583960003574,2.39789527279837,4.52936847257181,3.14415227867226,3.3357695763397,3.45946628978613,5.40941141405362,2.83321334405622,3.44361809754611,2.09679018001445
3.43398720448515,3.01062088604774,2.07944154167984,4.8941014778403,2.78501124223834,2.97552956623647,3.60277675506052,5.76675727381759,3.20274644293832,3.62966009445396,2.87356463957978
3.90399083373088,2.83321334405622,2.62466859216316,4.95229971708329,3.26575941076705,3.45315712059287,4.13676527810605,6.56596894753716,2.68784749378469,3.32862668882732,3.11794990627824
3.66356164612965,2.24070968927596,2.46809953147162,4.45782959808938,2.91235066461494,2.53369681395743,3.5945687746427,6.73755990198602,2.52572864430826,3.36384159511839,3.06339092202781
3.46885603013597,2.90690105984738,2.70805020110221,2.40694510831829,1.68824909285839,2.37024374146786,3.19458313229916,5.62221082096239,2.66025953726586,3.36384159511839,2.58021682959233
3.72569342723665,3.34638914516716,0.405465108108164,4.92362391710663,3.19458313229916,3.42426265459315,3.92197333628131,6.87264610186857,0.405465108108164,4.44029554279786,1.63119940421561
4.26127043353808,4.00186370942794,2.76631910922619,3.21486780347066,2.59525470695687,2.34276688262688,3.34638914516716,6.10813585391167,3.5945687746427,4.54754107315146,3.8877303128591
